date,soil_temp
2020-03-29,29.282512283325214
2020-03-30,29.35062624613448
2020-03-31,29.64850006103518
2020-04-01,29.77088890075686
2020-04-02,28.7861044565837
2020-04-03,28.442431386311853
2020-04-04,29.00465545654299
2020-04-05,28.02870648701986
2020-04-06,28.273631032307943
2020-04-07,28.60535837809249
2020-04-08,29.14468917846682
2020-04-09,29.326235707600915
2020-04-10,29.190969085693386
2020-04-11,29.35266265869143
2020-04-12,29.68189074198409
2020-04-13,29.275692240397177
2020-04-14,28.41582832336428
2020-04-15,28.72032953898116
2020-04-16,28.642644500732445
2020-04-17,28.31719805399581
2020-04-18,28.710640207926478
2020-04-19,28.950561777750693
2020-04-20,29.32333208719893
2020-04-21,29.820604578654013
2020-04-22,29.00162785847982
2020-04-23,28.31042633056643
