system:index,date,.geo
20201105T065839_20201105T074308,2020-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201106T063839_20201106T072503,2020-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201107T061839_20201107T070555,2020-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201107T062339_20201107T070651,2020-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201108T060125_20201108T064739,2020-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201109T072125_20201109T080925,2020-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201109T072625_20201109T081025,2020-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201110T070625_20201110T074947,2020-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201111T064625_20201111T072842,2020-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201112T062625_20201112T071447,2020-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201113T060625_20201113T065253,2020-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201113T061125_20201113T065729,2020-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201114T055125_20201114T063702,2020-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201114T073125_20201114T081618,2020-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201115T071125_20201115T075613,2020-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201116T065125_20201116T073917,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201117T063125_20201117T071859,2020-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201117T063625_20201117T072039,2020-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201118T061223_20201118T070426,2020-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201118T061723_20201118T070502,2020-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201119T055223_20201119T064837,2020-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201119T055723_20201119T065539,2020-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201120T071723_20201120T080344,2020-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201121T065723_20201121T074351,2020-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201122T063723_20201122T072455,2020-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201122T064223_20201122T072634,2020-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201123T062223_20201123T070657,2020-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201124T060223_20201124T065054,2020-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
