date,no2
2020-05-19,
2020-05-19,7.556879042261571e-05
2020-05-20,0.00010744280452110428
2020-05-21,6.420876400016319e-05
2020-05-22,
2020-05-22,
2020-05-23,7.878386885337519e-05
2020-05-24,7.18114900882335e-05
2020-09-05,
2020-09-05,
2020-09-06,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-08,
2020-09-09,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-11,
2020-09-12,
2020-09-12,
2020-09-13,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-16,
2020-09-16,
2020-09-17,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-20,
2020-09-21,
2020-09-21,
2020-09-22,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-24,
2020-09-25,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-27,
2020-09-28,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-02,
2020-10-03,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-07,
2020-10-08,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-11,
2020-10-12,
2020-10-12,
2020-10-13,
2020-10-13,
2020-10-14,
2020-10-14,
2020-10-15,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-18,
2020-10-19,
2020-10-19,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-23,
2020-10-24,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-29,
2020-10-30,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-03,
2020-11-03,
2020-11-04,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-13,
2020-11-14,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-17,
2020-11-18,
2020-11-18,
2020-11-19,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-22,
2020-11-23,
2020-11-24,
2021-03-05,5.164944930471441e-05
2021-03-06,
2021-03-06,
2021-03-07,
2021-03-07,8.647531590865278e-05
2021-03-07,7.507085075262216e-05
2021-03-08,4.1485531501791445e-05
2021-03-09,4.600702406107572e-05
2021-03-10,5.539478463974405e-05
2021-03-11,3.788029642109464e-05
2021-03-11,
2021-03-12,
2021-03-12,4.431915482812989e-05
2021-03-13,5.8319009759030486e-05
2021-03-14,6.258145741180428e-05
2021-03-15,3.950445508442989e-05
2021-03-16,4.9023759071906806e-05
2021-03-16,
2021-03-17,
2021-03-17,6.012178215091465e-05
2021-03-17,6.053068803413033e-05
2021-03-18,5.886012631495678e-05
2021-03-19,6.892234684388956e-05
2021-03-20,6.315903251422299e-05
2021-03-21,5.284750302430848e-05
2021-03-21,
2021-03-22,
2021-03-22,
2021-03-23,4.803643428414289e-05
2021-03-24,5.503753576625094e-05
2021-03-25,3.788845185244653e-05
2021-03-25,
2021-03-26,
2021-03-26,6.708422980949963e-05
2021-03-27,4.211564812344911e-05
2021-03-27,
2021-03-28,5.732527680465237e-05
2021-03-28,
2021-03-29,8.873921432982626e-05
2021-03-29,
2021-03-30,5.466189719500082e-05
2021-03-31,6.085943405033951e-05
2021-04-01,4.757341211080122e-05
2021-04-01,
2021-04-02,
2021-04-02,7.060894993185041e-05
2021-04-02,
2021-04-03,5.907313621367561e-05
2021-04-04,5.63326026647653e-05
2021-04-05,4.095625007195295e-05
2021-04-06,4.079690640577504e-05
2021-04-06,
2021-04-07,
2021-04-07,
2021-04-08,4.986676328082066e-05
2021-04-08,
2021-04-09,5.385061658948383e-05
2021-04-10,6.629976567088264e-05
2021-04-11,6.078066704696114e-05
2021-04-12,6.910135467095192e-05
2021-04-12,
2021-04-14,6.376706261628161e-05
2021-04-14,
2021-04-15,1.784395024100999e-05
2021-04-15,2.43453007646414e-05
2021-04-16,6.086318705301239e-05
2021-04-17,5.365950178406669e-05
2021-04-18,5.601807850269219e-05
2021-04-19,3.1981495275251384e-05
2021-04-19,
2021-04-20,
2021-04-20,5.259875620114752e-05
2021-04-21,7.041002164384261e-05
2021-04-22,5.359419595262807e-05
2021-04-23,
2021-04-23,
2021-04-24,5.55098674340679e-05
2021-04-25,7.84891689395867e-05
2021-04-26,6.458825794523467e-05
2021-04-27,5.862031854907504e-05
2021-04-28,
2021-04-28,3.0230758057521103e-05
2021-04-29,9.210276738372412e-05
2021-04-30,5.772295414861061e-05
2021-05-01,6.022348474952867e-05
2021-05-01,
2021-05-02,
2021-05-02,5.3716679793215255e-05
2021-05-03,5.762942202424902e-05
2021-05-04,
2021-05-04,7.127994393759305e-05
2021-05-05,7.351207574691022e-05
2021-05-05,
2021-05-06,8.542624468318802e-05
2021-05-06,8.83370794822063e-05
2021-05-07,5.720866312402129e-05
2021-05-08,
2021-05-09,
2021-05-09,
2021-05-10,
2021-05-10,6.969078808704695e-05
2021-05-11,8.936894772067253e-05
2021-05-12,6.516047514070417e-05
2021-05-13,6.253576878869801e-05
2021-05-14,
2021-05-14,5.178665374525084e-05
2021-05-15,5.729774978056959e-05
2021-05-16,5.1889284186576375e-05
2021-05-17,5.2114998492322254e-05
2021-05-18,5.247468055894536e-05
2021-05-18,5.270707345430816e-05
2021-05-19,3.2435455406848087e-05
2021-05-19,
2021-05-20,4.9496319241709946e-05
2021-05-20,
2021-05-21,5.0742655919345534e-05
2021-05-21,5.155716444398202e-05
2021-05-22,8.775068892298607e-05
2021-05-23,4.9959965963297307e-05
2021-05-24,8.111323714302551e-05
2021-05-24,
2021-09-05,6.642962393410197e-05
2021-09-06,5.914130506101032e-05
2021-09-06,
2021-09-07,6.97636178963491e-05
2021-09-08,5.191159156405471e-05
2021-09-09,6.097307045211065e-05
2021-09-09,
2021-09-10,5.4110941877487146e-05
2021-09-10,
2021-09-11,6.465155258678442e-05
2021-09-12,4.908621936853451e-05
2021-09-13,6.171431483430157e-05
2021-09-14,
2021-09-14,5.208494655321734e-05
2021-09-14,5.063877942485108e-05
2021-09-15,
2021-09-16,6.526717338465061e-05
2021-09-17,6.375398827100783e-05
2021-09-18,4.653122127873568e-05
2021-09-18,
2021-09-19,
2021-09-19,5.749371210060485e-05
2021-09-20,6.702873199191014e-05
2021-09-21,6.058378767417379e-05
2021-09-22,7.387541449214587e-05
2021-09-22,
2021-09-23,6.474971132394763e-05
2021-09-24,5.760650249333652e-05
2021-09-25,6.754872501044558e-05
2021-09-25,
2021-09-27,5.356402828812866e-05
2021-09-27,
2021-09-28,
2021-09-28,
2021-09-29,6.546367367294214e-05
2021-09-30,
2021-09-30,5.503913868474526e-05
2021-10-01,5.842664172200945e-05
2021-10-01,
2021-10-02,5.629074563807874e-05
2021-10-03,6.436834062927428e-05
2021-10-04,6.516643894829227e-05
2021-10-05,5.5210368656496025e-05
2021-10-05,5.515828598500823e-05
2021-10-05,
2021-10-06,
2021-10-06,5.227581185824292e-05
2021-10-07,1.5510370110914544e-05
2021-10-08,6.435719385650062e-05
2021-10-09,4.412658109033157e-05
2021-10-09,
2021-10-10,
2021-10-10,7.441131756968668e-05
2021-10-11,
2021-10-11,5.152335236869248e-05
2021-10-12,5.8455254105359166e-05
2021-10-12,
2021-10-13,5.554538634694678e-05
2021-10-13,
2021-10-14,6.0480292845550615e-05
2021-10-15,5.483280253196121e-05
2021-10-16,
2021-10-16,7.436371867132662e-05
2021-10-17,
2021-10-18,6.087516359073759e-05
2021-10-19,5.745459843535575e-05
2021-10-20,8.422517621441443e-05
2021-10-20,8.314960775501821e-05
2021-10-21,2.0067742367193105e-05
2021-10-22,5.031465133818062e-05
2021-10-23,4.371232744008779e-05
2021-10-23,
2021-10-24,5.8671691286457406e-05
2021-10-24,4.756035843426508e-05
2021-10-25,7.033309581527235e-05
2021-10-25,
2021-10-26,
2021-10-26,4.573872074519173e-05
2021-10-27,6.02430637400785e-05
2021-10-27,
2021-10-27,
2021-10-27,
2021-10-28,6.032491300629069e-05
2021-10-28,6.21673502578839e-05
2021-10-29,9.85755720138282e-05
2021-10-30,6.91967990513269e-05
2021-10-31,5.380259906281531e-05
2021-11-01,
2021-11-01,7.205511806106577e-05
2021-11-02,5.779929289005701e-05
2021-11-03,6.29714025508905e-05
2021-11-04,6.855992732106192e-05
2021-11-05,
2021-11-05,9.29963481441006e-05
2021-11-05,
2021-11-06,7.639581417762424e-05
2021-11-07,0.00010912783051609276
2021-11-08,6.226045916522212e-05
2021-11-08,
2021-11-09,8.019737763209129e-05
2021-11-09,8.377613178264321e-05
2021-11-10,5.57539301587741e-05
2021-11-11,0.00012861002952660306
2021-11-12,4.631259803941829e-05
2021-11-12,
2021-11-13,6.156234418906082e-05
2021-11-13,5.815978914643948e-05
2021-11-14,4.432185631942476e-05
2021-11-15,0.00012846295806506536
2021-11-16,6.422294349415689e-05
2021-11-16,
2021-11-16,
2021-11-17,
2021-11-17,7.79464838854625e-05
2021-11-18,6.427543669000369e-05
2021-11-18,
2021-11-18,
2021-11-18,
2021-11-19,5.423221062533937e-05
2021-11-20,5.687364930530605e-05
2021-11-21,7.359658634955394e-05
2021-11-21,
2021-11-22,
2021-11-22,6.56422620406521e-05
2021-11-23,5.732534652674185e-05
2021-11-24,8.060429062900466e-05
