date,ndvi,gndvi,no2,soil_moisture,soil_temp,day,month,year,growing_season,yield
2019-11-15,0.1951032056230327,0.1382888725476243,5.7302483266005706e-05,0.4409255981445312,26.282492574056,15,11,2019,2,0.0
2019-11-20,0.3762642206246017,0.270657938232353,3.964850170936893e-05,0.4256057739257812,27.21985778808596,20,11,2019,2,19324.8
2020-03-09,0.2058442011427061,0.1902889431105773,5.0766837780369954e-05,0.3012669881184895,29.45768381754561,9,3,2020,1,0.0
2020-03-14,0.4116432434690103,0.3578581607365496,4.8721150004574344e-05,0.3183638254801432,29.51339492797854,14,3,2020,1,0.0
2020-03-19,0.4792936187272428,0.4117603665390371,7.068526723148013e-05,0.3248856862386067,28.221798833211267,19,3,2020,1,0.0
2020-03-24,0.5469439939854753,0.4656625723415245,4.5407870595837575e-05,0.3964646657307942,28.002862548828148,24,3,2020,1,0.0
2020-03-29,0.5490020178088736,0.4575032640673678,4.3741080417023626e-05,0.3085212707519531,29.28251228332521,29,3,2020,1,0.0
2020-04-03,0.5227219210249586,0.4466759621325221,4.650172402931886e-05,0.3554433186848958,28.442431386311853,3,4,2020,1,0.0
2020-04-08,0.612006282317087,0.5126516028824433,8.310491000601593e-05,0.3098138173421224,29.14468917846682,8,4,2020,1,0.0
2020-04-13,0.6794596947424006,0.5804078786769711,8.981954929785285e-05,0.3424383799235026,29.275692240397177,13,4,2020,1,0.0
2020-04-18,0.6810249076773903,0.5933187782685536,6.124431390041525e-05,0.3757222493489583,28.71064020792648,18,4,2020,1,0.0
2020-04-23,0.5202233474996415,0.4598544592883322,6.048083093927098e-05,0.4031302134195964,28.31042633056643,23,4,2020,1,0.0
2020-04-28,0.6144286805149071,0.5467099745967134,5.42570205438314e-05,0.4384899139404297,27.66506919860842,28,4,2020,1,0.0
2020-05-03,0.6169117759310909,0.5394969021877557,5.750330245183528e-05,0.4211584726969401,28.292036946614587,3,5,2020,1,0.0
2020-05-08,0.6069709155807829,0.5329296025660143,4.4445676651437205e-05,0.4062023162841797,28.21953226725265,8,5,2020,1,0.0
2020-05-13,0.5970300552304747,0.5263623029442729,6.698821708612652e-05,0.4159603118896484,27.1682118733724,13,5,2020,1,0.0
2020-05-18,0.5870891948801666,0.5197950033225316,7.605049623748816e-05,0.3993231455485026,28.43015124003097,18,5,2020,1,0.0
2020-05-23,0.5771483345298586,0.5132277037007902,7.878386885337519e-05,0.4206841786702474,27.812805430094443,23,5,2020,1,19985.7
2020-09-05,0.5672074741795504,0.5066604040790488,7.149397763494974e-05,0.3814646402994792,26.929593022664392,5,9,2020,2,0.0
2020-09-10,0.5473257534789343,0.4935258048355659,7.022392782181467e-05,0.4074846903483073,27.004221852620446,10,9,2020,2,0.0
2020-09-15,0.5373848931286261,0.4869585052138246,6.895387800867961e-05,0.3992284138997395,27.14302342732748,15,9,2020,2,0.0
2020-09-20,0.5274440327783181,0.4803912055920832,6.752507196890267e-05,0.354827880859375,27.594506200154623,20,9,2020,2,0.0
2020-09-25,0.51750317242801,0.4738239059703418,6.609626592912572e-05,0.4070154825846354,27.092795308431,25,9,2020,2,0.0
2020-09-30,0.5075623120777019,0.4672566063486004,6.498497234263254e-05,0.3882897694905599,27.89155286153158,30,9,2020,2,0.0
2020-10-05,0.4976214517273938,0.460689306726859,6.387367875613936e-05,0.4204006195068359,27.102447764078818,5,10,2020,2,0.0
2020-10-10,0.4876805913770857,0.4541220071051177,6.27623851696462e-05,0.4123916625976562,26.75704663594564,10,10,2020,2,0.0
2020-10-15,0.4777397310267776,0.4475547074833763,6.117482290322737e-05,0.413675308227539,27.21246426900228,15,10,2020,2,0.0
2020-10-20,0.4677988706764695,0.4409874078616349,5.990477309009231e-05,0.3413448333740234,28.22540117899581,20,10,2020,2,0.0
2020-10-25,0.4578580103261614,0.4344201082398935,5.879347950359913e-05,0.4211667378743489,26.9689943949382,25,10,2020,2,0.0
2020-10-30,0.4479171499758533,0.4278528086181521,5.752342969046407e-05,0.3412100474039714,28.19784507751467,30,10,2020,2,0.0
2020-11-04,0.4379762896255452,0.4212855089964107,5.625337987732901e-05,0.4162209828694661,26.124339675903343,4,11,2020,2,0.0
2020-11-09,0.4280354292752372,0.4147182093746693,5.514208629083583e-05,0.4408480326334635,26.662916437784872,9,11,2020,2,0.0
2020-11-14,0.4180945689249291,0.4081509097529279,5.403079270434265e-05,0.4275315602620442,27.25273539225265,14,11,2020,2,0.0
2020-11-19,0.4081537085746209,0.4015836101311866,5.276074289120759e-05,0.424191157023112,27.53663279215499,19,11,2020,2,0.0
2020-11-24,0.3982128482243129,0.3950163105094452,5.1808205531356294e-05,0.4403374989827474,26.22281036376956,24,11,2020,2,21245.3
2021-03-09,0.3974494543829053,0.3928149453687738,4.600702406107572e-05,0.3219502766927083,28.299424743652366,9,3,2021,1,0.0
2021-03-14,0.2664708981079495,0.2283649898550522,6.258145741180428e-05,0.3910897572835286,27.92097625732424,14,3,2021,1,0.0
2021-03-24,0.1054917939561642,0.0668187349715259,5.503753576625094e-05,0.4415245056152344,26.21199442545577,24,3,2021,1,0.0
2021-03-29,0.3835790885529597,0.3334376265279238,7.170055576241354e-05,0.3802903493245442,27.85739987691244,29,3,2021,1,0.0
2021-04-03,0.5057100660139419,0.4446803671488495,5.907313621367561e-05,0.3496786753336589,28.61126543680831,3,4,2021,1,0.0
2021-04-08,0.6087401204905925,0.5204124718809778,5.1858689935152247e-05,0.4192409515380859,28.11535224914553,8,4,2021,1,0.0
2021-04-18,0.6380484005834622,0.5550822730119971,5.601807850269219e-05,0.4128684997558594,27.937409337361657,18,4,2021,1,0.0
2021-04-23,0.6586278226835788,0.5833760241085102,5.4871310273587954e-05,0.4163958231608073,28.087510681152366,23,4,2021,1,0.0
2021-04-28,0.3838086858968393,0.325699955657823,3.0230758057521103e-05,0.4124520619710286,28.02814890543624,28,4,2021,1,0.0
2021-05-03,0.688705863243666,0.604821879199635,5.762942202424902e-05,0.3965504964192708,28.243030166626,3,5,2021,1,0.0
2021-05-08,0.5045743863322221,0.4188671216313857,5.970508811662642e-05,0.4280567169189453,27.80252927144369,8,5,2021,1,0.0
2021-05-13,0.4993056342020323,0.411003098212541,6.253576878869801e-05,0.4314206441243489,28.502723312377952,13,5,2021,1,0.0
2021-05-18,0.6172642542944462,0.5302482418682365,5.270707345430816e-05,0.4391307830810547,27.030241266886435,18,5,2021,1,0.0
2021-05-23,0.6797687126173828,0.5939683980837612,4.9959965963297307e-05,0.379468282063802,28.118304824829124,23,5,2021,1,17222.4
2021-09-05,0.3344483567012029,0.3141201423232787,6.642962393410197e-05,0.3816083272298177,27.30938555399581,5,9,2021,2,0.0
2021-09-10,0.3229971541436783,0.3043455628545842,5.9381247232135785e-05,0.3640149434407552,27.582669194539392,10,9,2021,2,0.0
2021-09-15,0.4574785789292395,0.4123690579094895,5.795297640475085e-05,0.3882376352945964,27.862585322062216,15,9,2021,2,0.0
2021-09-20,0.5220872132621422,0.467321444112487,6.702873199191014e-05,0.417880376180013,26.858965810139978,20,9,2021,2,0.0
2021-09-25,0.2601756365960877,0.23009047760974,6.0556376649287125e-05,0.3616485595703125,28.381138737996423,25,9,2021,2,0.0
2021-09-30,0.0877664554407558,0.0580090535361761,5.503913868474526e-05,0.4359970092773437,26.6816338857015,30,9,2021,2,0.0
2021-10-05,0.4046411178892106,0.334750133956318,5.4197461276086456e-05,0.3604145050048828,27.100848134358728,5,10,2021,2,0.0
2021-10-10,0.7215157803376655,0.6114912143764599,7.441131756968668e-05,0.3009268442789714,28.795014317830407,10,10,2021,2,0.0
2021-10-15,0.741740664516516,0.6430790253244444,5.483280253196121e-05,0.2294584910074869,28.592743174235068,15,10,2021,2,0.0
2021-10-20,0.655956595010073,0.567014028524658,8.314960775501821e-05,0.4292844136555989,26.449690119425497,20,10,2021,2,0.0
2021-10-25,0.6091679097706427,0.520718851902839,6.213497079191215e-05,0.4274927775065104,27.53838691711428,25,10,2021,2,0.0
2021-10-30,0.6397276476760871,0.5514648719424673,6.91967990513269e-05,0.4057515462239583,27.888695653279623,30,10,2021,2,0.0
2021-11-04,0.6702873855815316,0.5822108919820957,6.855992732106192e-05,0.434179941813151,27.28103408813479,4,11,2021,2,0.0
2021-11-14,0.700847123486976,0.6129569120217241,4.432185631942476e-05,0.4129009246826172,27.128643290201865,14,11,2021,2,0.0
2021-11-19,0.7080322192895159,0.6170935715108453,5.423221062533937e-05,0.4164384206136067,27.63558731079104,19,11,2021,2,0.0
2021-11-24,0.1899792836092779,0.1439153339598514,8.060429062900466e-05,0.4375152587890625,27.02227617899581,24,11,2021,2,19249.4
