date,soil_moisture
2020-03-18,0.3087692260742187
2020-03-19,0.3248856862386067
2020-03-20,0.2930259704589844
2020-03-21,0.2988503774007161
2020-03-22,0.3385562896728515
2020-03-23,0.3757031758626302
2020-03-24,0.3964646657307942
2020-03-25,0.3530483245849609
2020-03-26,0.3387101491292317
2020-03-27,0.3326905568440755
2020-03-28,0.3146629333496094
2020-03-29,0.3085212707519531
2020-03-30,0.2914886474609375
2020-03-31,0.2627652486165364
2020-04-01,0.258035659790039
2020-04-02,0.3796641031901042
2020-04-03,0.3554433186848958
2020-04-04,0.3499158223470052
2020-04-05,0.3736712137858073
2020-04-06,0.3563289642333984
2020-04-07,0.3335914611816406
2020-04-08,0.3098138173421224
2020-04-09,0.2925764719645182
2020-04-10,0.2849604288736979
2020-04-11,0.26300048828125
